สัญลักษณ์,ชื่อบริษัท,วันปิดสมุดทะเบียน,อันดับ,ชื่อผู้ถือหุ้น,จำนวนหุ้น,ร้อยละ (%)
KBANK,ธนาคารกสิกรไทย,2026-04-22,1,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,302400438,12.76
KBANK,ธนาคารกสิกรไทย,2026-04-22,2,บริษัท กัลฟ์ ดีเวลลอปเมนท์ จำกัด (มหาชน),236805000,9.99
KBANK,ธนาคารกสิกรไทย,2026-04-22,3,STATE STREET EUROPE LIMITED,138568144,5.85
KBANK,ธนาคารกสิกรไทย,2026-04-22,4,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,101684007,4.29
KBANK,ธนาคารกสิกรไทย,2026-04-22,5,STATE STREET BANK AND TRUST COMPANY,92451320,3.9
KKP,ธนาคารเกียรตินาคินภัทร,2026-04-30,1,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,127201113,14.63
KKP,ธนาคารเกียรตินาคินภัทร,2026-04-30,2,บริษัท โชติธนวัฒน์ จำกัด,46318066,5.33
KKP,ธนาคารเกียรตินาคินภัทร,2026-04-30,3,บริษัท น้ำตาลตะวันออก จำกัด,40516393,4.66
KKP,ธนาคารเกียรตินาคินภัทร,2026-04-30,4,น.ส. ฐิตินันท์ วัธนเวคิน,35532761,4.09
KKP,ธนาคารเกียรตินาคินภัทร,2026-04-30,5,ธนาคาร เกียรตินาคินภัทร จำกัด (มหาชน),34896800,4.01
KTB,ธนาคารกรุงไทย,2026-04-16,1,กองทุน เพื่อการฟื้นฟูและพัฒนาระบบสถาบันการเงิน,7696248833,55.07
KTB,ธนาคารกรุงไทย,2026-04-16,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,1139937572,8.16
KTB,ธนาคารกรุงไทย,2026-04-16,3,กองทุนรวม วายุภักษ์หนึ่ง,442009615,3.16
KTB,ธนาคารกรุงไทย,2026-04-16,4,STATE STREET EUROPE LIMITED,247722258,1.77
KTB,ธนาคารกรุงไทย,2026-04-16,5,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,244131410,1.75
KTC,บัตรกรุงไทย,2026-04-16,1,ธนาคาร กรุงไทย จำกัด (มหาชน),1270908500,49.29
KTC,บัตรกรุงไทย,2026-04-16,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,169006961,6.55
KTC,บัตรกรุงไทย,2026-04-16,3,นาย มงคล ประกิตชัยวัฒนา,138575084,5.37
KTC,บัตรกรุงไทย,2026-04-16,4,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,53306868,2.07
KTC,บัตรกรุงไทย,2026-04-16,5,กองทุนรวม วายุภักษ์หนึ่ง,44271500,1.72
LH,แลนด์ แอนด์ เฮ้าส์,2026-04-30,1,นาย อนันต์ อัศวโภคิน,2894883427,24.23
LH,แลนด์ แอนด์ เฮ้าส์,2026-04-30,2,สำนักงานประกันสังคม,763135140,6.39
LH,แลนด์ แอนด์ เฮ้าส์,2026-04-30,3,บริษัท เมย์แลนด์ จำกัด,677000069,5.67
LH,แลนด์ แอนด์ เฮ้าส์,2026-04-30,4,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,638067171,5.34
LH,แลนด์ แอนด์ เฮ้าส์,2026-04-30,5,THE BANK OF NEW YORK MELLON,310929000,2.6
MINT,ไมเนอร์ อินเตอร์เนชั่นแนล,2026-05-06,1,บริษัท ไมเนอร์ โฮลดิ้ง (ไทย) จำกัด,916556730,16.17
MINT,ไมเนอร์ อินเตอร์เนชั่นแนล,2026-05-06,2,UBS AG SINGAPORE BRANCH - FOR CLIENTS' ACCOUNTS,654773783,11.55
MINT,ไมเนอร์ อินเตอร์เนชั่นแนล,2026-05-06,3,นาย นิติ โอสถานุเคราะห์,558134428,9.84
MINT,ไมเนอร์ อินเตอร์เนชั่นแนล,2026-05-06,4,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,368653901,6.5
MINT,ไมเนอร์ อินเตอร์เนชั่นแนล,2026-05-06,5,สำนักงานประกันสังคม,205221402,3.62
MTC,เมืองไทย แคปปิตอล,2026-04-29,1,นาง ดาวนภา พัชรชัย,720000000,33.96
MTC,เมืองไทย แคปปิตอล,2026-04-29,2,นาย ปริทัศน์ เพชรอำไพ,304028200,14.34
MTC,เมืองไทย แคปปิตอล,2026-04-29,3,นาย ศึกษิต พัชรชัย,300028200,14.15
MTC,เมืองไทย แคปปิตอล,2026-04-29,4,UBS AG SINGAPORE BRANCH - FOR CLIENTS' ACCOUNTS,110300000,5.2
MTC,เมืองไทย แคปปิตอล,2026-04-29,5,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,68050375,3.21
OR,ปตท. น้ำมันและการค้าปลีก,2026-02-24,1,บริษัท ปตท. จำกัด (มหาชน),9000000000,75
OR,ปตท. น้ำมันและการค้าปลีก,2026-02-24,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,204607323,1.71
OR,ปตท. น้ำมันและการค้าปลีก,2026-02-24,3,กองทุนรวม วายุภักษ์หนึ่ง,188439322,1.57
OR,ปตท. น้ำมันและการค้าปลีก,2026-02-24,4,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,103877917,0.87
OR,ปตท. น้ำมันและการค้าปลีก,2026-02-24,5,ชุมนุมสหกรณ์ออมทรัพย์ แห่งประเทศไทย จำกัด,75355196,0.63
OSP,โอสถสภา,2026-05-08,1,นาย นิติ โอสถานุเคราะห์,723097300,24.07
OSP,โอสถสภา,2026-05-08,2,"BANK JULIUS BAER & CO. LTD, SINGAPORE",261060475,8.69
OSP,โอสถสภา,2026-05-08,3,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,117207677,3.9
OSP,โอสถสภา,2026-05-08,4,นาย ภาสุรี โอสถานุเคราะห์,100619800,3.35
OSP,โอสถสภา,2026-05-08,5,น.ส. เกสรา โอสถานุเคราะห์,94188200,3.14
PTT,ปตท.,2026-03-06,1,กระทรวงการคลัง,14675631250,51.38
PTT,ปตท.,2026-03-06,2,กองทุนรวม วายุภักษ์หนึ่ง,2235634400,7.83
PTT,ปตท.,2026-03-06,3,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,1700904562,5.95
PTT,ปตท.,2026-03-06,4,ชุมนุมสหกรณ์ออมทรัพย์ แห่งประเทศไทย จำกัด,588811600,2.06
PTT,ปตท.,2026-03-06,5,สำนักงานประกันสังคม,506558553,1.77
PTTEP,ปตท. สำรวจและผลิตปิโตรเลียม,2026-02-24,1,บริษัท ปตท. จำกัด (มหาชน),2532340489,63.79
PTTEP,ปตท. สำรวจและผลิตปิโตรเลียม,2026-02-24,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,265573981,6.69
PTTEP,ปตท. สำรวจและผลิตปิโตรเลียม,2026-02-24,3,กองทุนรวม วายุภักษ์หนึ่ง,69689100,1.76
PTTEP,ปตท. สำรวจและผลิตปิโตรเลียม,2026-02-24,4,STATE STREET EUROPE LIMITED,67771167,1.71
PTTEP,ปตท. สำรวจและผลิตปิโตรเลียม,2026-02-24,5,บริษัท สยาม แมนเนจเม้นท์ โฮลดิ้ง จำกัด,59520000,1.5
PTTGC,พีทีที โกลบอล เคมิคอล,2026-02-25,1,บริษัท ปตท. จำกัด (มหาชน),2037220915,45.18
PTTGC,พีทีที โกลบอล เคมิคอล,2026-02-25,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,238053430,5.28
PTTGC,พีทีที โกลบอล เคมิคอล,2026-02-25,3,กองทุนรวม วายุภักษ์หนึ่ง,151705700,3.36
PTTGC,พีทีที โกลบอล เคมิคอล,2026-02-25,4,บริษัท สยาม แมนเนจเม้นท์ โฮลดิ้ง จำกัด,135240000,3
PTTGC,พีทีที โกลบอล เคมิคอล,2026-02-25,5,STATE STREET EUROPE LIMITED,114288452,2.53
RATCH,ราช กรุ๊ป,2026-03-13,1,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,978750000,45
RATCH,ราช กรุ๊ป,2026-03-13,2,สหกรณ์ ออมทรัพย์การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย จำกัด,134598536,6.19
RATCH,ราช กรุ๊ป,2026-03-13,3,สำนักงานประกันสังคม,101870550,4.68
RATCH,ราช กรุ๊ป,2026-03-13,4,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,81948761,3.77
RATCH,ราช กรุ๊ป,2026-03-13,5,นาย ประทีป ตั้งมติธรรม,27335450,1.26
SAWAD,ศรีสวัสดิ์ คอร์ปอเรชั่น,2026-05-08,1,น.ส. ธิดา แก้วบุตตา,268883440,16.18
SAWAD,ศรีสวัสดิ์ คอร์ปอเรชั่น,2026-05-08,2,UBS AG SINGAPORE BRANCH - FOR CLIENTS' ACCOUNTS,195030812,11.74
SAWAD,ศรีสวัสดิ์ คอร์ปอเรชั่น,2026-05-08,3,น.ส. ดวงใจ แก้วบุตตา,135263396,8.14
SAWAD,ศรีสวัสดิ์ คอร์ปอเรชั่น,2026-05-08,4,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,103159132,6.21
SAWAD,ศรีสวัสดิ์ คอร์ปอเรชั่น,2026-05-08,5,นาง จริยา แก้วบุตตา,98643749,5.94
SCB,เอสซีบี เอกซ์,2026-04-21,1,พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,793832359,23.58
SCB,เอสซีบี เอกซ์,2026-04-21,2,กองทุนรวม วายุภักษ์หนึ่ง,785298200,23.32
SCB,เอสซีบี เอกซ์,2026-04-21,3,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,182011647,5.41
SCB,เอสซีบี เอกซ์,2026-04-21,4,สำนักงานประกันสังคม,103055200,3.06
SCB,เอสซีบี เอกซ์,2026-04-21,5,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,102264686,3.04
SCC,ปูนซิเมนต์ไทย,2026-04-02,1,พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,403647840,33.64
SCC,ปูนซิเมนต์ไทย,2026-04-02,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,91860061,7.66
SCC,ปูนซิเมนต์ไทย,2026-04-02,3,สำนักงานประกันสังคม,67135537,5.59
SCC,ปูนซิเมนต์ไทย,2026-04-02,4,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,37873579,3.16
SCC,ปูนซิเมนต์ไทย,2026-04-02,5,STATE STREET EUROPE LIMITED,21545041,1.8
SCGP,เอสซีจี แพคเกจจิ้ง,2026-04-01,1,บริษัท ปูนซิเมนต์ไทย จำกัด (มหาชน),3095882660,72.12
SCGP,เอสซีจี แพคเกจจิ้ง,2026-04-01,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,99757377,2.32
SCGP,เอสซีจี แพคเกจจิ้ง,2026-04-01,3,สำนักงานประกันสังคม,77672286,1.81
SCGP,เอสซีจี แพคเกจจิ้ง,2026-04-01,4,กองทุนรวม วายุภักษ์หนึ่ง,77280058,1.8
SCGP,เอสซีจี แพคเกจจิ้ง,2026-04-01,5,บริษัท ทุนลดาวัลย์ จำกัด,75198900,1.75
